Timestamp,User,Message
1554191383,LRobinett,User Logged On OfficeComputer11
1554191385,RKelly,User Logged On OfficeComputer8
1554191387,LCarney,User Logged Off Server1
1554191389,KSwanson,User Logged Off OfficeComputer17
1554191391,TRivers,User Logged Off OfficeComputer5
1554191393,MBowen,User Logged Off OfficeComputer2
1554191395,DHawkins,User Logged On OfficeComputer13
1554191397,MFoster,User Logged On OfficeComputer20
1554191399,WDavis,User Logged Off OfficeComputer16
1554191401,RKelly,User Logged Off OfficeComputer16
1554191403,LCarney,User Logged Off OfficeComputer17
1554191405,DHawkins,User Logged On OfficeComputer11
1554191407,DHawkins,User Logged Off TestSystem1
1554191409,WDavis,User Logged On OfficeComputer3
1554191411,RFrank,User Logged Off OfficeComputer19
1554191413,SConrad,User Logged Off OfficeComputer18
1554191415,MFoster,User Logged Off Server2
1554191417,MBowen,User Logged Off Server3
1554191419,WDavis,User Logged On OfficeComputer7
1554191421,RFrank,User Logged Off OfficeComputer4
1554191423,SWayman,User Logged On Server1
1554191425,LRobinett,User Logged Off OfficeComputer6
1554191427,LBaker,User Logged On OfficeComputer4
1554191429,LBaker,User Logged Off OfficeComputer14
1554191431,TRivers,User Logged Off Server1
1554191433,LRobinett,User Logged On OfficeComputer13
1554191435,SConrad,User Logged Off OfficeComputer4
1554191437,SConrad,User Logged On Server2
1554191439,LMarshall,User Logged Off OfficeComputer12
1554191441,KSwanson,User Logged On OfficeComputer15
1554191443,WDavis,User Logged Off OfficeComputer19
1554191445,EJacobs,User Logged On OfficeComputer16
1554191447,MFoster,User Logged On OfficeComputer10
1554191449,MFoster,User Logged Off OfficeComputer16
1554191451,LCarney,User Logged Off OfficeComputer5
1554191453,MFoster,User Logged Off OfficeComputer6
1554191455,LBaker,User Logged Off OfficeComputer16
1554191457,RMelton,User Logged On OfficeComputer12
1554191459,LRobinett,User Logged Off OfficeComputer12
1554191461,MFoster,User Logged Off OfficeComputer9
1554191463,KSwanson,User Logged On OfficeComputer10
1554191465,RMelton,User Logged On OfficeComputer2
1554191467,LRobinett,User Logged Off OfficeComputer1
1554191469,EJacobs,User Logged Off OfficeComputer5
1554191471,SConrad,User Logged Off OfficeComputer5
1554191473,MBowen,User Logged On OfficeComputer7
1554191475,LMarshall,User Logged On OfficeComputer4
1554191477,SConrad,User Logged Off OfficeComputer11
1554191479,KSwanson,User Logged Off Server1
1554191481,RFrank,User Logged On OfficeComputer12
1554191483,LCarney,User Logged On TestSystem1
1554191485,EJacobs,User Logged Off OfficeComputer18
1554191487,LBaker,User Logged Off OfficeComputer19
1554191489,LRobinett,User Logged On Server3
1554191491,LRobinett,User Logged On OfficeComputer18
1554191493,LBaker,User Logged On OfficeComputer6
1554191495,TRivers,User Logged Off OfficeComputer9
1554191497,HMcCann,User Logged Off OfficeComputer4
1554191499,BCombs,User Logged On Server1
1554191501,TRivers,User Logged On OfficeComputer8
1554191503,MFoster,User Logged On OfficeComputer2
1554191505,LMarshall,User Logged On OfficeComputer20
1554191507,LMarshall,User Logged Off Server1
1554191509,BCombs,User Logged On OfficeComputer6
1554191511,BCombs,User Logged Off OfficeComputer17
1554191513,SWayman,User Logged On OfficeComputer7
1554191515,RMelton,User Logged Off OfficeComputer9
1554191517,KSwanson,User Logged Off Server3
1554191519,LRobinett,User Logged On OfficeComputer4
1554191521,RMelton,User Logged On OfficeComputer12
1554191523,MBowen,User Logged Off OfficeComputer5
1554191525,RKelly,User Logged On OfficeComputer4
1554191527,RMelton,User Logged On OfficeComputer1
1554191529,TRivers,User Logged On OfficeComputer17
1554191531,LBaker,User Logged Off OfficeComputer10
1554191533,LBaker,User Logged Off OfficeComputer19
1554191535,LRobinett,User Logged Off OfficeComputer13
1554191537,DHawkins,User Logged On OfficeComputer17
1554191539,LMarshall,User Logged Off TestSystem2
1554191541,PCannon,User Logged Off OfficeComputer13
