Timestamp,src_ip,src_port,dest_ip,dest_port,bytes in,bytes out
1554191387,10.1.5.12,6245,72.32.180.122,3128,13532,114841
1554191388,10.1.5.9,7583,217.178.3.229,161,18748,17103
1554191396,10.1.5.14,8423,70.58.225.211,20,13928,104107
1554191401,10.1.5.21,3854,16.52.204.89,20,13886,40189
1554191413,10.1.5.12,5848,104.85.182.154,20,13594,74370
1554191417,10.1.5.4,5668,47.151.161.183,443,4177,98241
1554191424,10.1.5.8,5487,210.88.90.118,443,8269,55997
1554191428,10.1.5.200,5307,10.214.115.83,3128,18074,125632
1554191434,10.1.5.5,5126,180.242.92.15,161,16465,51977
1554191434,10.1.5.14,4945,179.17.10.76,161,18149,45320
1554191443,10.1.5.201,4765,157.194.85.221,20,1592,27642
1554191447,10.1.5.16,4584,120.210.228.28,443,17222,91706
1554191449,10.1.5.11,4223,8.17.184.69,20,18981,51808
1554191452,10.1.5.17,4404,166.127.109.171,443,12411,67839
1554191464,10.1.5.13,4042,54.23.237.84,161,3640,91431
1554191471,10.1.5.11,3862,177.222.175.24,20,18385,46794
1554191473,10.1.5.3,3681,37.181.143.159,20,18728,55591
1554191476,10.1.5.5,3320,239.179.102.21,443,11750,72473
1554191480,10.1.5.8,3501,164.126.47.175,443,9370,57038
1554191487,10.1.5.100,2959,79.196.229.247,3128,3031,106683
1554191488,10.1.5.13,3139,128.246.99.166,3128,13337,35084
1554191492,10.1.5.19,2598,184.49.199.183,3128,17078,33087
1554191495,10.1.5.202,2778,129.35.122.120,20,15781,103915
1554191500,10.1.5.200,2236,232.212.204.122,161,13978,39176
1554191501,10.1.5.7,2417,226.171.233.57,443,8348,7735
1554191505,10.1.5.3,8546,24.9.97.120,3128,14208,45198
1554191507,10.1.5.9,2056,31.40.70.131,161,8771,79455
1554191508,10.1.5.21,5893,212.166.81.33,3128,16614,18299
1554191512,10.1.5.7,6842,1.37.20.246,3128,11055,49475
1554191521,10.1.5.8,6965,120.220.165.172,3128,2462,106107
1554191523,10.1.5.13,8175,137.157.174.204,443,1955,56014
1554191526,10.1.5.5,8711,236.44.227.99,3128,8096,30934
1554191527,10.1.5.5,7639,54.44.178.67,443,15512,74346
1554191533,10.1.5.2,9247,65.63.31.73,20,10942,2355
1554191533,10.1.5.18,9783,225.176.71.56,3128,18558,68073
1554191542,10.1.5.18,10319,48.229.39.222,3128,4010,31820
1554191548,10.1.5.6,10855,46.212.156.93,20,14894,63252
1554191553,10.1.5.101,11391,167.112.91.97,161,16338,31032
1554191553,10.1.5.200,11927,23.16.73.154,443,10440,9373
1554191557,10.1.5.13,12463,129.223.65.137,161,309,74460
1554191558,10.1.5.17,12999,189.76.155.193,161,7607,68612
1554191563,10.1.5.100,13535,99.179.187.100,20,7120,118380
1554191568,10.1.5.2,14071,121.18.127.38,20,882,94024
1554191574,10.1.5.18,14607,73.10.109.1,161,7531,42871
1554191575,10.1.5.7,15679,91.123.205.85,3128,14893,82253
1554191576,10.1.5.16,16215,183.72.80.245,161,6414,62770
1554191578,10.1.5.201,15143,206.139.239.97,20,3082,70227
1554191581,10.1.5.12,16751,106.94.42.97,161,16241,109674
1554191583,10.1.5.2,17287,108.123.209.35,443,4693,33026
1554191584,10.1.5.2,17823,157.228.32.18,161,19296,118865
1554191587,10.1.5.2,18359,207.100.182.102,20,2031,2162
1554191591,10.1.5.7,18895,17.17.252.19,20,9084,11765
1554191600,10.1.5.20,19431,130.109.0.50,3128,11343,83780
1554191610,10.1.5.14,20503,71.138.240.239,443,19592,76428
1554191612,10.1.5.8,19967,156.82.64.4,20,16743,125676
1554191619,10.1.5.3,21039,250.98.30.70,443,8805,29126
1554191623,10.1.5.101,21575,133.219.72.199,3128,222,88208
1554191627,10.1.5.6,22111,124.38.36.248,443,13770,47555
1554191629,10.1.5.11,22647,117.192.85.132,161,9583,17549
1554191637,10.1.5.10,23183,85.98.173.206,443,19806,112549
1554191643,10.1.5.201,23719,140.218.49.75,161,17857,112404
1554191647,10.1.5.16,24255,92.90.227.168,3128,3071,99061
1554191651,10.1.5.15,24791,87.200.26.221,3128,1930,102082
1554191653,10.1.5.202,25327,169.27.216.205,443,5342,87342
